feature,importance
haversine_dist,0.40208528195942544
bearing,0.13477818445825246
pickup_hour,0.11565698496313531
dropoff_latitude,0.052049513056389315
pickup_dow,0.048538059905636366
dropoff_longitude,0.04154780057873401
mid_lat,0.03581968772321425
pickup_latitude,0.0327476391098227
mid_lon,0.03140318856818459
pickup_longitude,0.031279372351736306
is_weekend,0.02147274187644805
pickup_month,0.017407959680947764
pickup_day,0.013209914093516332
manhattan_dist,0.010894591993714745
is_rush_hour,0.008272994902345723
